template,field_id,metric_id,adapter,implementation,outcome,evidence,blocker,note,within_template_observations,within_template_present_pass,within_template_present,within_template_entities
liquids,tariff_operative_rate,tariff_operative_rate,elibrary_docs,implemented,source_exists_interpretation_blocked,27 observations retained with the comparison gated,ungates per filer when a tariff record's effective status and the governing order are both retrieved and reconciled,role=gated; regimes=eLibrary document,28,0,0,28
lng,lng_inspection,lng_inspection,lng,not_implemented,not_implemented_unfinished_work,"60 observations, none in a recognised terminal state",,role=detail; regimes=eLibrary document,60,0,59,7
lng,lng_liquefaction_capacity,lng_liquefaction_capacity,lng,implemented,implemented_retrieved_validated,6 validated + 0 flagged values across 7 entities,,role=headline; regimes=eLibrary document,10,6,6,7
lng,lng_material_order,lng_material_order,lng,implemented,implemented_retrieved_validated,22 validated + 0 flagged values across 7 entities,,role=headline; regimes=eLibrary document,22,22,22,7
lng,lng_operational_report,lng_operational_report,lng,implemented,implemented_retrieved_validated,40 validated + 1 flagged values across 7 entities,,role=detail; regimes=eLibrary document,76,40,41,7
lng,lng_regas_sendout_capacity,lng_regas_sendout_capacity,lng,implemented,implemented_retrieved_validated,3 validated + 0 flagged values across 7 entities,,role=headline; regimes=eLibrary document,11,3,3,7
lng,lng_status_authorised,lng_status_authorised,lng,implemented,implemented_retrieved_validated,29 validated + 0 flagged values across 7 entities,,role=headline; regimes=eLibrary document,31,29,29,7
lng,lng_status_operating,lng_status_operating,lng,implemented,implemented_retrieved_validated,35 validated + 0 flagged values across 7 entities,,role=headline; regimes=eLibrary document,36,35,35,7
lng,lng_status_requested,lng_status_requested,lng,implemented,implemented_retrieved_validated,8 validated + 0 flagged values across 7 entities,,role=headline; regimes=eLibrary document,10,8,8,7
lng,lng_storage_capacity,lng_storage_capacity,lng,implemented,implemented_retrieved_validated,3 validated + 0 flagged values across 7 entities,,role=profile; regimes=eLibrary document,10,3,3,7
